epoch,consumer,corpus,condition,project,chunk,mode,candidate_base,candidate_expat,base_expat,candidate_base_min,candidate_base_max
1,native,generated,entities/4096/namespaces-1,entities,4096,namespaces-1,1.026579995874421,2.551553178817461,2.47543502646778,1.0210349363964872,1.342679978204992
1,native,observed-holdout,dotnet/4096/namespaces-0,dotnet,4096,namespaces-0,1.0247299154760643,1.09667301852229,1.0683482666508954,1.0002363548845237,1.04279826428262
1,native,generated,text/65536/namespaces-1,text,65536,namespaces-1,0.9889177071445034,1.0362462150592462,1.044751903212854,0.9279088087677231,1.0174196144194947
1,native,generated,text/65536/namespaces-0,text,65536,namespaces-0,0.9983243540689793,1.042453131331084,1.043591708476112,0.9880411675383838,1.1097571543410336
1,native,observed-holdout,qt/65536/namespaces-1,qt,65536,namespaces-1,1.0291628645413153,1.6593277971288884,1.6170193456621322,1.0014452762354926,1.0386650236970745
1,native,generated,elements/65536/namespaces-1,elements,65536,namespaces-1,1.0063427336929518,1.8299078845210883,1.8134634491965123,0.9819190185969614,1.0835308957420313
1,native,observed-holdout,hadoop/4096/namespaces-0,hadoop,4096,namespaces-0,1.0207189213417598,1.379435386324922,1.3447411802835274,1.0184597742536148,1.0333484365897592
1,native,tuning,maven/65536/namespaces-1,maven,65536,namespaces-1,1.0017836727183107,1.558602926813135,1.5552125605302953,0.9812890237593944,1.0203852515579155
1,native,tuning,vulkan/4096/namespaces-0,vulkan,4096,namespaces-0,1.0270527325673506,1.2647288137972568,1.2229236036975086,1.0066279561883729,1.0361978923798592
1,native,tuning,maven/4096/namespaces-0,maven,4096,namespaces-0,1.0141200944730793,1.2400387835449398,1.2369018880228386,0.9915739034090764,1.0209004922770688
1,native,generated,namespaces/65536/namespaces-1,namespaces,65536,namespaces-1,1.0100420839494053,2.1472614946824713,2.1293979799626617,0.9939807795268262,1.0376790093497004
1,native,generated,elements/4096/namespaces-1,elements,4096,namespaces-1,1.009745013986355,1.8365995324530076,1.8204407948124313,0.9894062460562328,1.0202328400397223
1,native,tuning,batik/4096/namespaces-1,batik,4096,namespaces-1,0.9514247503777374,0.8598218587036405,0.896440873372329,0.6040444589283246,0.996980934070022
1,native,observed-holdout,qt/4096/namespaces-1,qt,4096,namespaces-1,1.031512549713523,1.68649649900438,1.625881857528303,1.0104905660377357,1.081320771155906
1,native,tuning,vulkan/4096/namespaces-1,vulkan,4096,namespaces-1,1.031393719274554,1.2987124827654863,1.2568274817245848,1.0105476693043591,1.0473645686265363
1,native,generated,text/4096/namespaces-0,text,4096,namespaces-0,0.9911148876514736,1.021171071951857,1.0307381425221005,0.6421642227422593,1.0039480251704331
1,native,tuning,gtk/4096/namespaces-0,gtk,4096,namespaces-0,1.0164943528310861,1.200211654518288,1.1784677927441123,0.966474310460814,1.3206531813224016
1,native,tuning,wayland/65536/namespaces-1,wayland,65536,namespaces-1,0.9968735960624078,0.9895081279536955,0.992611432243962,0.6405384440641431,1.0509981653072906
1,native,observed-holdout,musescore/4096/namespaces-1,musescore,4096,namespaces-1,0.9678212134491416,1.5716751468558412,1.6073409560404508,0.9597537192715706,1.002092734315477
1,native,tuning,vulkan/65536/namespaces-1,vulkan,65536,namespaces-1,1.0304585565768551,1.2694790782966947,1.241161035083206,1.0002217215850848,1.3384975239810948
1,native,tuning,wayland/4096/namespaces-0,wayland,4096,namespaces-0,1.009056373121619,1.0039726193974166,0.9899894643214661,0.98600543964416,1.0366955584156234
1,native,tuning,wayland/4096/namespaces-1,wayland,4096,namespaces-1,1.0059248827903624,1.0209877425562903,1.0183944485806935,1.0025464533700188,1.1186162597711926
1,native,observed-holdout,musescore/4096/namespaces-0,musescore,4096,namespaces-0,0.96849296949643,1.5505110053729743,1.6036168485400029,0.8307454625112072,0.9852495091352113
1,native,observed-holdout,libreoffice/65536/namespaces-1,libreoffice,65536,namespaces-1,0.9927531054339139,1.5331339445816556,1.540178178921662,0.9800679219007623,1.0102088436978118
1,native,generated,entities/65536/namespaces-0,entities,65536,namespaces-0,1.0195849569267477,2.5662364006883007,2.53370263113635,1.0027762034614311,1.0277712644009829
