label,pr,epoch,consumer,corpus,group,condition,candidate_over_baseline,candidate_over_expat,regression_percent,slower_than_baseline,source_conditions_csv
namespace,238,1,native,tuning,native-tuning,batik/4096/namespaces-0,0.9927826678666286,0.8115318260894726,-0.721733213337139,False,/tmp/xeme-perf-prs-20260913/namespace/epoch-1/conditions.csv
namespace,238,1,native,tuning,native-tuning,batik/4096/namespaces-1,0.9577582289889832,0.885805616026895,-4.224177101101678,False,/tmp/xeme-perf-prs-20260913/namespace/epoch-1/conditions.csv
namespace,238,1,native,tuning,native-tuning,batik/65536/namespaces-0,0.9964878878342281,0.8814957806610854,-0.35121121657718524,False,/tmp/xeme-perf-prs-20260913/namespace/epoch-1/conditions.csv
namespace,238,1,native,tuning,native-tuning,batik/65536/namespaces-1,0.9653368743144161,0.9796967043464415,-3.466312568558394,False,/tmp/xeme-perf-prs-20260913/namespace/epoch-1/conditions.csv
namespace,238,1,native,tuning,native-tuning,docbook/4096/namespaces-0,0.9943546930243362,1.206772771730156,-0.5645306975663789,False,/tmp/xeme-perf-prs-20260913/namespace/epoch-1/conditions.csv
namespace,238,1,native,tuning,native-tuning,docbook/4096/namespaces-1,1.0022107645610836,1.4901146596565802,0.22107645610836002,True,/tmp/xeme-perf-prs-20260913/namespace/epoch-1/conditions.csv
namespace,238,1,native,tuning,native-tuning,docbook/65536/namespaces-0,0.9899202818234119,1.3286823223190942,-1.0079718176588148,False,/tmp/xeme-perf-prs-20260913/namespace/epoch-1/conditions.csv
namespace,238,1,native,tuning,native-tuning,docbook/65536/namespaces-1,1.0057889869508352,1.5919561769502077,0.5788986950835184,True,/tmp/xeme-perf-prs-20260913/namespace/epoch-1/conditions.csv
namespace,238,1,native,tuning,native-tuning,gtk/4096/namespaces-0,0.976125316870047,1.1745441804866654,-2.3874683129953,False,/tmp/xeme-perf-prs-20260913/namespace/epoch-1/conditions.csv
namespace,238,1,native,tuning,native-tuning,gtk/4096/namespaces-1,0.9670695885858397,1.164374366482712,-3.293041141416031,False,/tmp/xeme-perf-prs-20260913/namespace/epoch-1/conditions.csv
namespace,238,1,native,tuning,native-tuning,gtk/65536/namespaces-0,0.9603664880998388,1.2456877459195805,-3.963351190016118,False,/tmp/xeme-perf-prs-20260913/namespace/epoch-1/conditions.csv
namespace,238,1,native,tuning,native-tuning,gtk/65536/namespaces-1,0.9746506190604258,1.2658554102719526,-2.5349380939574173,False,/tmp/xeme-perf-prs-20260913/namespace/epoch-1/conditions.csv
namespace,238,1,native,tuning,native-tuning,maven/4096/namespaces-0,1.007443117741755,1.2701673078110332,0.7443117741755101,True,/tmp/xeme-perf-prs-20260913/namespace/epoch-1/conditions.csv
namespace,238,1,native,tuning,native-tuning,maven/4096/namespaces-1,1.0021737458406936,1.4343785247011054,0.21737458406936305,True,/tmp/xeme-perf-prs-20260913/namespace/epoch-1/conditions.csv
namespace,238,1,native,tuning,native-tuning,maven/65536/namespaces-0,0.9830859216031536,1.3533230319622434,-1.6914078396846444,False,/tmp/xeme-perf-prs-20260913/namespace/epoch-1/conditions.csv
namespace,238,1,native,tuning,native-tuning,maven/65536/namespaces-1,1.0123649299069888,1.58256677374533,1.2364929906988786,True,/tmp/xeme-perf-prs-20260913/namespace/epoch-1/conditions.csv
namespace,238,1,native,tuning,native-tuning,vulkan/4096/namespaces-0,0.987467194493257,1.2160619893428508,-1.2532805506742961,False,/tmp/xeme-perf-prs-20260913/namespace/epoch-1/conditions.csv
namespace,238,1,native,tuning,native-tuning,vulkan/4096/namespaces-1,0.9595161557954984,1.2470752665740767,-4.048384420450157,False,/tmp/xeme-perf-prs-20260913/namespace/epoch-1/conditions.csv
namespace,238,1,native,tuning,native-tuning,vulkan/65536/namespaces-0,0.9995616962790087,1.2247318927497204,-0.043830372099129544,False,/tmp/xeme-perf-prs-20260913/namespace/epoch-1/conditions.csv
namespace,238,1,native,tuning,native-tuning,vulkan/65536/namespaces-1,0.958445332378784,1.2261414634454464,-4.155466762121596,False,/tmp/xeme-perf-prs-20260913/namespace/epoch-1/conditions.csv
namespace,238,1,native,tuning,native-tuning,wayland/4096/namespaces-0,1.0014192366164116,0.8483650103066708,0.14192366164116343,True,/tmp/xeme-perf-prs-20260913/namespace/epoch-1/conditions.csv
namespace,238,1,native,tuning,native-tuning,wayland/4096/namespaces-1,0.9905896237801125,0.8556923418025367,-0.9410376219887495,False,/tmp/xeme-perf-prs-20260913/namespace/epoch-1/conditions.csv
