epoch,consumer,corpus,condition,project,chunk,mode,candidate_base,candidate_expat,base_expat,candidate_base_min,candidate_base_max
1,native,generated,entities/4096/namespaces-1,entities,4096,namespaces-1,0.709765366929214,1.7469984257943572,2.461888473911918,0.7054287639021672,0.7299189836974768
1,native,observed-holdout,dotnet/4096/namespaces-0,dotnet,4096,namespaces-0,0.9964531177544701,1.0771003136993107,1.0810141273961662,0.8932082259669235,1.0331367175517747
1,native,generated,text/65536/namespaces-1,text,65536,namespaces-1,1.0015934209958153,1.036594035849107,1.0349449328635698,0.9846531661616055,1.0195928190709898
1,native,generated,text/65536/namespaces-0,text,65536,namespaces-0,0.9889634585061923,1.0399388162010217,1.0411851215743344,0.9855134856151502,1.0163974880654625
1,native,observed-holdout,qt/65536/namespaces-1,qt,65536,namespaces-1,0.9471199725503491,1.515389380098221,1.586533239795824,0.9329876080801284,0.9582204886610522
1,native,generated,elements/65536/namespaces-1,elements,65536,namespaces-1,0.9718455267363182,1.7729423964285849,1.8243047353240747,0.9469093091526765,1.0108591154344535
1,native,observed-holdout,hadoop/4096/namespaces-0,hadoop,4096,namespaces-0,0.9733752572789458,1.3147493890001563,1.3522951763340416,0.9470253715610796,0.9767364173726826
1,native,tuning,maven/65536/namespaces-1,maven,65536,namespaces-1,0.9835116878170574,1.5095378245072768,1.5346447712385312,0.9778090290770332,1.021531404852435
1,native,tuning,vulkan/4096/namespaces-0,vulkan,4096,namespaces-0,0.9706113647710003,1.191120471610782,1.2271051137583209,0.9447047691859815,0.9813875174584288
1,native,tuning,maven/4096/namespaces-0,maven,4096,namespaces-0,0.9729438714464632,1.2010672227803785,1.2178518520841761,0.9639939501371974,0.9933946646608914
1,native,generated,namespaces/65536/namespaces-1,namespaces,65536,namespaces-1,0.9848357375173875,2.052801269504475,2.1021216293125202,0.9544794448561469,1.0173003328012369
1,native,generated,elements/4096/namespaces-1,elements,4096,namespaces-1,0.9812452767278571,1.6473593952049825,1.6863270817577944,0.9512677497787208,0.9926376874874615
1,native,tuning,batik/4096/namespaces-1,batik,4096,namespaces-1,0.9897891937869255,0.9028292915717779,0.9091905416358317,0.9807595943831786,1.0195386839585894
1,native,observed-holdout,qt/4096/namespaces-1,qt,4096,namespaces-1,0.9492194153495224,1.5297462248907676,1.608798515144317,0.9293602158064834,1.0114088218422421
1,native,tuning,vulkan/4096/namespaces-1,vulkan,4096,namespaces-1,0.9833461124869561,1.229481181257422,1.2483775009886613,0.9692708107065633,1.026183554040585
1,native,generated,text/4096/namespaces-0,text,4096,namespaces-0,0.9980690155545547,1.0212238407865804,1.0314914029110887,0.9782306640295033,1.0008603380504222
1,native,tuning,gtk/4096/namespaces-0,gtk,4096,namespaces-0,0.9822941016362996,1.1339395258179663,1.1533011301453238,0.9705840393745095,0.9978992996992365
1,native,tuning,wayland/65536/namespaces-1,wayland,65536,namespaces-1,1.0035997458082808,0.9977739760529716,0.9923768274745088,0.9954352341251701,1.026091648527674
1,native,observed-holdout,musescore/4096/namespaces-1,musescore,4096,namespaces-1,0.9675956229468922,1.557779125151295,1.6093093876876028,0.9592108150617998,0.98412746440726
1,native,tuning,vulkan/65536/namespaces-1,vulkan,65536,namespaces-1,0.9842502871104422,1.2062879702977576,1.223682466392423,0.9723457372457984,1.0316821883633889
1,native,tuning,wayland/4096/namespaces-0,wayland,4096,namespaces-0,0.995549660029602,0.9906194815816659,0.994564402441407,0.9784001412514695,1.015148726602789
1,native,tuning,wayland/4096/namespaces-1,wayland,4096,namespaces-1,0.9926322681340815,1.00248401826484,0.9985244554659746,0.9815261403156335,1.0192178061358077
1,native,observed-holdout,musescore/4096/namespaces-0,musescore,4096,namespaces-0,0.9671921355736673,1.5374301999413311,1.5895809564554,0.9554064090469725,0.9924414924137746
1,native,observed-holdout,libreoffice/65536/namespaces-1,libreoffice,65536,namespaces-1,0.9923981991697244,1.5316583985684922,1.5453328235187243,0.9681866081491041,1.0079475276155865
1,native,generated,entities/65536/namespaces-0,entities,65536,namespaces-0,0.7054326970181722,1.7595808404831041,2.4871629099117833,0.696985294327981,0.7139779922692816
1,native,observed-holdout,libreoffice/4096/namespaces-0,libreoffice,4096,namespaces-0,0.985309842028202,1.4356099281997603,1.449848124333561,0.9652107634958982,1.004289478685535
1,native,generated,namespaces/4096/namespaces-1,namespaces,4096,namespaces-1,0.9771113885742875,2.058029745182704,2.096321810526264,0.9130897102486915,1.0217942286960364
