consumer,corpus,condition,candidate_over_baseline,candidate_over_expat,regression_percent
native,real,batik/4096/namespaces-0,0.9956546564138309,0.9577145452322312,-0.4345343586169115
native,real,batik/4096/namespaces-1,1.0443019083399843,1.1140449243761466,4.430190833998426
native,real,batik/65536/namespaces-0,0.9895007216798846,1.0809704270149556,-1.0499278320115435
native,real,batik/65536/namespaces-1,1.0126065346804207,1.2187558692012292,1.2606534680420722
native,real,docbook/4096/namespaces-0,1.0143609682679042,1.193884732947233,1.4360968267904228
native,real,docbook/4096/namespaces-1,0.9943533459804454,1.444984728326753,-0.5646654019554553
native,real,docbook/65536/namespaces-0,1.006762169190993,1.2895329111060847,0.6762169190992928
native,real,docbook/65536/namespaces-1,1.0261335361647614,1.597656896142533,2.613353616476144
native,real,gtk/4096/namespaces-0,1.021840999135209,1.1724852234436283,2.1840999135209094
native,real,gtk/4096/namespaces-1,1.010430078084796,1.1839622961227454,1.0430078084795902
native,real,gtk/65536/namespaces-0,1.025741109936997,1.266324340506284,2.5741109936997075
native,real,gtk/65536/namespaces-1,1.0245117420737742,1.3022222451325562,2.4511742073774156
native,real,maven/4096/namespaces-0,1.0261480906039488,1.2668610802587736,2.614809060394885
native,real,maven/4096/namespaces-1,1.0337343511450383,1.4352892128707646,3.373435114503831
native,real,maven/65536/namespaces-0,1.037689514306856,1.4506894475183705,3.7689514306856076
native,real,maven/65536/namespaces-1,1.020908109313247,1.6139860503581032,2.0908109313247047
native,real,vulkan/4096/namespaces-0,1.0075838668073216,1.2753409116637957,0.7583866807321593
native,real,vulkan/4096/namespaces-1,1.0027876906368527,1.3069086577784366,0.2787690636852691
native,real,vulkan/65536/namespaces-0,1.0253538181336586,1.2559813652477396,2.5353818133658557
native,real,vulkan/65536/namespaces-1,1.0267097245669083,1.291887574742342,2.6709724566908344
native,real,wayland/4096/namespaces-0,1.0001796655637822,0.8383737297533853,0.017966556378223864
native,real,wayland/4096/namespaces-1,1.0135984886912317,0.870385404644011,1.3598488691231703
native,real,wayland/65536/namespaces-0,1.006442047169506,0.8149109062489727,0.6442047169505916
native,real,wayland/65536/namespaces-1,1.0101284431750397,0.8412066157542065,1.0128443175039692
native,generated,elements/4096/namespaces-0,0.994959900217164,1.6277460157132329,-0.5040099782836038
native,generated,elements/4096/namespaces-1,0.9859613381489116,1.7526066065262202,-1.4038661851088374
native,generated,elements/65536/namespaces-0,1.012828507398732,1.6938780029356415,1.282850739873198
native,generated,elements/65536/namespaces-1,0.9949104929615037,1.6680369174893919,-0.508950703849631
native,generated,entities/4096/namespaces-0,1.0106618887638297,2.447962812702251,1.0661888763829674
native,generated,entities/4096/namespaces-1,1.025332868394241,2.4353188529395338,2.5332868394241093
native,generated,entities/65536/namespaces-0,1.0251861938988525,2.4212806660212793,2.518619389885246
native,generated,entities/65536/namespaces-1,1.0265837812743799,2.4338864490002154,2.658378127437988
native,generated,namespaces/4096/namespaces-0,1.034599579590856,1.5957591278025143,3.459957959085602
native,generated,namespaces/4096/namespaces-1,0.9645295853195979,3.037011362229063,-3.547041468040213
native,generated,namespaces/65536/namespaces-0,1.0245440801979644,1.588498819739948,2.454408019796439
native,generated,namespaces/65536/namespaces-1,0.9606498600896668,3.0340996237956257,-3.9350139910333204
native,generated,text/4096/namespaces-0,0.9926265066722749,0.5111558418630292,-0.7373493327725078
native,generated,text/4096/namespaces-1,0.9932937138704093,0.508828696526644,-0.6706286129590677
native,generated,text/65536/namespaces-0,0.9884424862683309,0.5152783267272707,-1.1557513731669133
native,generated,text/65536/namespaces-1,0.9905670695530449,0.5195234877990621,-0.9432930446955146
python,real,batik/4096/elementtree,0.9808119001283752,1.1193943167245897,-1.9188099871624842
python,real,batik/4096/pyexpat-events,0.9918781232596645,1.050536553377827,-0.8121876740335487
python,real,batik/65536/elementtree,0.9884087915388847,1.1611781789395625,-1.1591208461115277
python,real,batik/65536/pyexpat-events,1.0090418380583153,1.1013276266855043,0.9041838058315266
python,real,docbook/4096/elementtree,1.0744685797897569,1.2691106345528136,7.446857978975685
python,real,docbook/4096/pyexpat-events,0.9920904753286142,1.1946454832545057,-0.7909524671385837
python,real,docbook/65536/elementtree,1.0066813644132875,1.3156174089321513,0.6681364413287483
python,real,docbook/65536/pyexpat-events,0.9873153035407312,1.2227462580797561,-1.268469645926884
python,real,gtk/4096/elementtree,0.9942364997456211,1.0506429706689784,-0.5763500254378884
python,real,gtk/4096/pyexpat-events,1.0135961119099288,1.0545440066863863,1.359611190992882
python,real,gtk/65536/elementtree,0.9928992269932971,0.9919153640012948,-0.7100773006702865
python,real,gtk/65536/pyexpat-events,1.0175002033794485,1.0640072191375465,1.7500203379448465
python,real,maven/4096/elementtree,1.0049578912546964,1.289079562596091,0.4957891254696367
python,real,maven/4096/pyexpat-events,0.9864194198197784,1.1390861278637374,-1.3580580180221569
python,real,maven/65536/elementtree,0.9935757150528249,1.24110337750181,-0.6424284947175063
python,real,maven/65536/pyexpat-events,0.9959509832804584,1.1615846784437198,-0.40490167195416094
python,real,vulkan/4096/elementtree,1.0300165372548509,0.9862740967668749,3.0016537254850872
python,real,vulkan/4096/pyexpat-events,0.9845934204795311,1.0729296009053795,-1.5406579520468866
python,real,vulkan/65536/elementtree,1.0224957444348068,1.1168084352394814,2.249574443480684
python,real,vulkan/65536/pyexpat-events,0.9700438963417362,1.0797204752259688,-2.9956103658263844
python,real,wayland/4096/elementtree,1.00155946481858,0.8125737173930789,0.15594648185799365
python,real,wayland/4096/pyexpat-events,0.9790261810727395,0.6602780887244573,-2.097381892726047
python,real,wayland/65536/elementtree,1.0045841417726455,0.7822942987326678,0.45841417726455447
python,real,wayland/65536/pyexpat-events,0.9954765529290261,0.6466764589587709,-0.45234470709738517
